YEAR,WHO Region,Income Group,Funder Type,Risk F,Funding
2010,Europe,Lower middle income,Bilaterals,.,0.005107487
2010,Western Pacific,Lower middle income,Bilaterals,.,0.000444929
2010,Americas,Upper middle income,Bilaterals,.,0.000430297
2010,Eastern Mediterranean,Low income,Bilaterals,.,0.000638716
2010,Not applicable,Not applicable,Bilaterals,.,0.001083766
2010,Americas,Not applicable,Bilaterals,2,0.000372457
2010,Not applicable,Not applicable,Bilaterals,.,0.001116899
2010,Africa,Low income,Bilaterals,.,0.000390298
2010,Africa,Not applicable,Bilaterals,.,0.001172494
2010,Western Pacific,Lower middle income,Bilaterals,.,0.001768761
2010,Americas,Upper middle income,Bilaterals,.,0.001675349
2010,Americas,Upper middle income,Bilaterals,.,0.001675349
2010,Americas,Upper middle income,Bilaterals,.,0.001675349
2010,Americas,Lower middle income,Bilaterals,.,0.001675349
2010,Africa,Lower middle income,Bilaterals,.,0.000568664
2010,Not applicable,Not applicable,Bilaterals,1,0.001814679
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.002151682
2010,Africa,Low income,Bilaterals,.,0.001656853
2010,Not applicable,Not applicable,Bilaterals,.,0.001898692
2010,Not applicable,Not applicable,Bilaterals,.,0.002100323
2010,Not applicable,Not applicable,Bilaterals,.,0.002100323
2010,Europe,Upper middle income,Bilaterals,.,0.002420544
2010,Americas,Upper middle income,Bilaterals,.,0.002691728
2010,Americas,Upper middle income,Bilaterals,1,0.00286484
2010,Americas,Upper middle income,Bilaterals,1,0.00286484
2010,Eastern Mediterranean,Upper middle income,Bilaterals,1,0.002878472
2010,Europe,Lower middle income,Bilaterals,1,0.002948853
2010,Not applicable,Not applicable,Bilaterals,.,0.003150484
2010,Western Pacific,Lower middle income,Bilaterals,.,0.003537523
2010,Africa,Lower middle income,Bilaterals,.,0.003475262
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.003517481
2010,Americas,Not applicable,Bilaterals,1,0.003595752
2010,Europe,Upper middle income,Bilaterals,.,0.003747981
2010,Americas,Not applicable,Bilaterals,2,0.0013022
2010,Europe,Upper middle income,Bilaterals,4,0.003982105
2010,Africa,Low income,Bilaterals,.,0.004531261
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.004689974
2010,South-East Asia,Lower middle income,Bilaterals,.,0.001977104
2010,Americas,Upper middle income,Bilaterals,.,0.005839296
2010,Americas,Lower middle income,Bilaterals,.,0.006112791
2010,Africa,Lower middle income,Bilaterals,.,0.006701397
2010,Africa,Low income,Bilaterals,.,0.006879878
2010,Not applicable,Not applicable,Bilaterals,1,0.007141097
2010,Eastern Mediterranean,Upper middle income,Bilaterals,.,0.007110001
2010,Americas,Upper middle income,Bilaterals,.,0.007594916
2010,Americas,Upper middle income,Bilaterals,.,0.007757448
2010,Western Pacific,Upper middle income,Bilaterals,.,0.007889649
2010,Not applicable,Not applicable,Bilaterals,.,0.010160722
2010,Eastern Mediterranean,Upper middle income,Bilaterals,8,0.00295742
2010,Africa,Upper middle income,Bilaterals,.,0.009064158
2010,Americas,Lower middle income,Bilaterals,.,0.009015356
2010,Africa,Lower middle income,Bilaterals,.,0.009674628
2010,Africa,Low income,Bilaterals,.,0.009732084
2010,South-East Asia,Lower middle income,Bilaterals,.,0.009944059
2010,Africa,Not applicable,Bilaterals,2,0.003349314
2010,Europe,Upper middle income,Bilaterals,.,0.010273624
2010,Not applicable,Not applicable,Bilaterals,.,0.010275475
2010,Not applicable,Not applicable,Bilaterals,1,0.010501613
2010,Europe,Lower middle income,Bilaterals,.,0.005276221
2010,Americas,Not applicable,Bilaterals,1,0.010778856
2010,Africa,Low income,Bilaterals,.,0.00962023
2010,Not applicable,Not applicable,Bilaterals,.,0.011967655
2010,Western Pacific,Upper middle income,Bilaterals,.,0.010878248
2010,Africa,Low income,Bilaterals,.,0.003722998
2010,Americas,Upper middle income,Bilaterals,.,0.011168995
2010,Africa,Low income,Bilaterals,.,0.011861859
2010,Americas,Upper middle income,Bilaterals,.,0.012314651
2010,Africa,Not applicable,Bilaterals,1,0.012375101
2010,South-East Asia,Low income,Bilaterals,1,0.012601936
2010,Western Pacific,Lower middle income,Bilaterals,.,0.014185967
2010,Western Pacific,Lower middle income,Bilaterals,.,0.014185967
2010,Africa,Low income,Bilaterals,.,0.004193682
2010,Americas,Upper middle income,Bilaterals,4,0.012766161
2010,Europe,Low income,Bilaterals,.,0.014680611
2010,Europe,Lower middle income,Bilaterals,.,0.014680611
2010,Europe,Low income,Bilaterals,.,0.014680611
2010,Not applicable,Lower middle income,Bilaterals,.,0.013356454
2010,Americas,Upper middle income,Bilaterals,.,0.013442065
2010,Americas,Upper middle income,Bilaterals,.,0.013402794
2010,South-East Asia,Lower middle income,Bilaterals,.,0.014069923
2010,Africa,Low income,Bilaterals,.,0.004689974
2010,Africa,Upper middle income,Bilaterals,.,0.014084102
2010,Europe,Lower middle income,Bilaterals,.,0.016333479
2010,Western Pacific,Lower middle income,Bilaterals,7,0.017496002
2010,Europe,Lower middle income,Bilaterals,.,0.016296185
2010,South-East Asia,Upper middle income,Bilaterals,.,0.014911437
2010,Americas,Upper middle income,Bilaterals,.,0.015636593
2010,Europe,Upper middle income,Bilaterals,.,0.015828664
2010,Africa,Low income,Bilaterals,.,0.016384194
2010,Americas,Upper middle income,Bilaterals,.,0.016195042
2010,Western Pacific,Lower middle income,Bilaterals,.,0.016252036
2010,South-East Asia,Lower middle income,Bilaterals,4,0.017672069
2010,Americas,Lower middle income,Bilaterals,.,0.016753492
2010,Europe,Lower middle income,Bilaterals,.,0.016753492
2010,Americas,Lower middle income,Bilaterals,.,0.01682609
2010,Americas,Lower middle income,Bilaterals,.,0.01682609
2010,Europe,Upper middle income,Bilaterals,.,0.016943808
2010,Africa,Not applicable,Bilaterals,.,0.005934111
2010,Americas,Not applicable,Bilaterals,.,0.005934111
2010,Europe,Lower middle income,Bilaterals,6,0.004361509
2010,Americas,Lower middle income,Bilaterals,.,0.017583896
2010,Africa,Low income,Bilaterals,.,0.016519017
2010,Africa,Not applicable,Bilaterals,.,0.018902903
2010,Africa,Not applicable,Bilaterals,.,0.018902903
2010,Africa,Not applicable,Bilaterals,.,0.018641476
2010,Americas,Upper middle income,Bilaterals,.,0.018987291
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.021649118
2010,Western Pacific,Not applicable,Bilaterals,.,0.019231232
2010,Europe,Not applicable,Bilaterals,.,0.018947278
2010,Not applicable,Not applicable,Bilaterals,.,0.019335764
2010,Africa,Lower middle income,Bilaterals,.,0.017813167
2010,Americas,Upper middle income,Bilaterals,.,0.019749016
2010,Americas,Upper middle income,Bilaterals,.,0.02057476
2010,Americas,Lower middle income,Bilaterals,.,0.006736757
2010,Africa,Low income,Bilaterals,.,0.006922663
2010,Africa,Lower middle income,Bilaterals,.,0.020980956
2010,Not applicable,Not applicable,Bilaterals,.,0.02106488
2010,Americas,Upper middle income,Bilaterals,.,0.021507303
2010,South-East Asia,Lower middle income,Bilaterals,.,0.023866504
2010,South-East Asia,Lower middle income,Bilaterals,.,0.023108054
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.02214866
2010,Africa,Low income,Bilaterals,.,0.022337989
2010,Americas,Lower middle income,Bilaterals,.,0.022469783
2010,Africa,Lower middle income,Bilaterals,1,0.023011134
2010,Americas,Upper middle income,Bilaterals,.,0.022583707
2010,Americas,Not applicable,Bilaterals,.,0.007914016
2010,Eastern Mediterranean,Upper middle income,Bilaterals,.,0.023343199
2010,Europe,Upper middle income,Bilaterals,.,0.023449872
